question,options,answer,subject,topic tag,year
"With reference to the recent developments in science, which one of the following statements is not correct?","A. Functional chromosomes can be created by joining segments of DNA taken from cells of different species.
B. Pieces of artificial functional DNA can be created in laboratories.
C. A piece of DNA taken out from an animal cell can be made to replicate outside a living cell in a laboratory.
D. Cells taken out from plants and animals can be made to undergo cell division in laboratory petri dishes.",A,Science & Technology,Science & Technology -> Biotechnology & Synthetic Biology / Chromosome Synthesis,2019
"Consider the following statements

 A digital signature is

 An electronic record that identifies the certifying authority issuing it Used to serve as a proof of identity of an individual to access information or server on Internet An electronic method of signing an electronic document and ensuring that the original content is unchanged

 Which of the statements given above is/are correct?","A. 1 only
B. 2 and 3 only
C. 3 only
D. 1, 2 and 3",D,Science & Technology,Science & Technology -> Cyber Security & Digital Signatures / Certifying Authorities,2019
"In the context of wearable technology, which of the following tasks is/are accomplished by wearable devices?

 Location identification of a person Sleep monitoring of a person Assisting the hearing impaired person

 Select the correct answer using the code given below.","A. 1 only
B. 2 and 3 only
C. 3 only
D. 1, 2 and 3",D,Science & Technology,Science & Technology -> Wearable Electronics & IoT Device Capabilities,2019
"'RNA interference (RNAi)' technology has gained popularity in the last few years. Why?

 It is used in developing gene silencing therapies. It can be used in developing therapies for the treatment of cancer. It can be used to develop hormone replacement therapies. It can be used to produce crop plants that are resistant to viral pathogens.

 Select the correct answer using the code given below.","A. 1, 2 and 4
B. 2 and 3
C. 1 and 3
D. 1 and 4 only",A,Science & Technology,Science & Technology -> Gene Therapy & RNA Interference (RNAi) Applications,2019
"Recently, scientists observed the merger of giant 'blackholes' billions of light years away from the Earth. What is the significance of this observation?","A. 'Higgs boson particles' were detected.
B. 'Gravitational waves' were detected.
C. Possibility of inter-galactic space travel through 'wormhole' was confirmed.
D. It enabled the scientists to understand 'singularity'.",B,Science & Technology,Science & Technology -> Astrophysics & Gravitational Waves from Binary Black Hole Mergers,2019
"Which of the following are the reasons for the occurrence of multi-drug resistance in microbial pathogens in India?

 Genetic predisposition of some people Taking incorrect doses of antibiotics to cure diseases Using antibiotics in livestock farming Multiple chronic diseases in some people

 Select the correct answer using the code given below.","A. 1 and 2
B. 2 and 3 only
C. 1, 3 and 4
D. 2, 3 and 4",D,Science & Technology,Science & Technology -> Public Health & Antimicrobial / Multidrug Resistance in India,2019
What is Cas9 protein that is often mentioned in news?,"A. A molecular scissors used in targeted gene editing
B. A biosensor used in the accurate detection of pathogens in patients
C. A gene that makes plants pest resistant
D. A herbicidal substance synthesized in genetically modified crops",A,Science & Technology,Science & Technology -> Genetic Engineering & CRISPR-Cas9 Molecular Scissors,2019
Which one of the following statements is not correct?,"A. Hepatitis B virus is transmitted much like HIV.
B. Hepatitis B, unlike Hepatitis C, does not have a vaccine.
C. Globally, the number of people infected with Hepatitis B and C viruses are several times more than those infected with HIV.
D. Some of those infected with Hepatitis B and C viruses do not show the symptoms for many years.",B,Science & Technology,Science & Technology -> Public Health & Viral Hepatitis (Hepatitis B vs C),2019
"With reference to Mughal India, what is/are the difference/differences between Jagirdar and Zamindar?

 Jagirdars were holders of land assignments in lieu of judicial and police duties, whereas Zamindars were holders of revenue rights without obligation to perform any duty other than revenue collection. Land assignments to Jagirdars were hereditary and revenue rights of Zamindars were not hereditary.

 Select the correct answer using the code given below.","A. 1 only
B. 2 only
C. Both 1 and 2
D. Neither 1 nor 2",A,History,History -> Mughal Agrarian Administration & Land Tenures (Jagirdar vs Zamindar),2019
"With reference to land reforms in independent India, which one of the following statements is correct?","A. The ceiling laws were aimed at family holdings and not individual holdings.
B. The major aim of land reforms was providing agricultural land to all the landless.
C. It resulted in cultivation of cash crops as a predominant form of cultivation.
D. Land reforms permitted no exemptions to the ceiling limits.",B,History,History -> Post-Independence Land Reforms & Ceiling Laws,2019
The Global Competitiveness Report is published by the,"A. International Monetary Fund
B. United Nations Conference on Trade and Development
C. World Economic Forum
D. World Bank",C,Economy,Economy -> Global Economic Indices & Global Competitiveness Report (WEF),2019
"Consider the following statements about 'the Charter Act of 1813':

 It ended the trade monopoly of the East India Company in India except for trade in tea and trade with China. It asserted the sovereignty of the British Crown over the Indian territories held by the Company. The revenues of India were now controlled by the British Parliament.

 Which of the statements given above are correct?","A. 1 and 2 only
B. 2 and 3 only
C. 1 and 3 only
D. 1, 2 and 3",A,History,History -> British Constitutional Acts & Charter Act 1813,2019
"With reference to Swadeshi Movements, consider the following statements:

 It contributed to the revival of the indigenous artisan crafts and industries. The National Council of Education was established as a part of Swadeshi Movement.

 Which of the statements given above is/are correct?","A. 1 only
B. 2 only
C. Both 1 and 2
D. Neither 1 nor 2",B,History,History -> National Freedom Movement & Swadeshi Movement 1905,2019
"Consider the following pairs:

 Movement/Organization - Leader

 All India Anti Untouchability League - Mahatma Gandhi All India Kisan Sabha - Swami Sahajanand Saraswati Self Respect Movement - E.V. Ramaswami Naicker

 Which of the pairs given above is/are correctly matched?","A. 1 only
B. 1 and 2 only
C. 2 and 3 only
D. 1, 2 and 3",D,History,"History -> Modern Social Movements & Leaders (Anti-Untouchability, Kisan Sabha)",2019
Which one of the following is not a Harappan site?,"A. Chanhudaro
B. Kot Diji
C. Sohagaura
D. Desalpur",C,History,History -> Indus Valley Civilization Sites & Sohgaura Copper Plate,2019
In which of the following relief sculpture inscriptions is 'Ranyo Ashoka' (King Ashoka) mentioned along with the stone portrait of Ashoka?,"A. Kanganahalli
B. Sanchi
C. Shahbazgarhi
D. Sohagaura",A,Art & Culture,Art & Culture -> Epigraphy & Ashokan Inscriptions (Kanaganahalli / Ranyo Ashoka),2019
"Consider the following:

 Deification of the Buddha Treading the path of Bodhisattvas Image worship and rituals

 Which of the above is/are the feature/features of Mahayana Buddhism?","A. 1 only
B. 1 and 2 only
C. 2 and 3 only
D. 1, 2 and 3",D,Art & Culture,Art & Culture -> Buddhist Philosophy & Mahayana Features (Deification of Buddha),2019
"With reference to forced labour (Vishti) in India during the Gupta period, which one of the following statements is correct?","A. It was considered a source of income for the State, a sort of tax paid by the people.
B. It was totally absent in the Madhya Pradesh and Kathiawar regions of the Gupta Empire.
C. The forced labourer was entitled to weekly wages.
D. The eldest son of the labourer was sent as the forced labourer.",A,History,History -> Ancient Indian Social History & Forced Labour (Vishti) in Gupta Period,2019
Which one of the following groups of plants was domesticated in the 'New World' and introduced into the 'Old World'?,"A. Tobacco, cocoa and rubber
B. Tobacco, cotton and rubber
C. Cotton, coffee and sugarcane
D. Rubber, coffee and wheat",A,Geography,Geography -> Agricultural History & Columbian Exchange (New World Crops),2019
"Consider the following statements:

 Asiatic lion is naturally found in India only. Double-humped camel is naturally found in India only. One-horned rhinoceros is naturally found in India only.

 Which of the statements given above is/are correct?","A. 1 only
B. 2 only
C. 1 and 3 only
D. 1, 2 and 3",C,Environment & Ecology,"Environment & Ecology -> Indian Wildlife Distribution (Asiatic Lion, Rhino)",2019
"Consider the following pairs:

 Famous place - River

 Pandharpur - Chandrabhaga Tiruchirappalli - Cauvery Hampi - Malaprabha

 Which of the pairs given above are correctly matched?","A. 1 and 2 only
B. 2 and 3 only
C. 1 and 3 only
D. 1, 2 and 3",A,Art & Culture,"Art & Culture -> Historical Towns & River Confluences (Pandharpur, Hampi)",2019
"In a given year in India, official poverty lines are higher in some States than in others because","A. Poverty rates vary from State to State
B. Price levels vary from State to State
C. Gross State Product varies from State to State
D. Quality of public distribution varies from State to State",B,Economy,Economy -> Poverty Estimation Methodology & State Price Level Variations,2019
In the context of which of the following do some scientists suggest the use of cirrus cloud thinning technique and the injection of sulphate aerosol into stratosphere?,"A. Creating the artificial rains in some regions
B. Reducing the frequency and intensity of tropical cyclones
C. Reducing the adverse effects of solar wind on the Earth
D. Reducing the global warming",D,Environment & Ecology,Environment & Ecology -> Geoengineering & Solar Radiation Management (Aerosols),2019
In the context of which one of the following are the terms 'pyrolysis and plasma gasification' mentioned?,"A. Extraction of rare earth elements
B. Natural gas extraction technologies
C. Hydrogen fuel-based automobiles
D. Waste-to-energy technologies",D,Science & Technology,Science & Technology -> Waste Management Technologies & Pyrolysis / Plasma Gasification,2019
Which of the following are in Agasthyamala Biosphere Reserve?,"A. Neyyar, Peppara and Shendurney Sanctuaries; and Kalakad Mundanthurai Tiger Reserve
B. Mudumalai, Sathyamangalam and Wayanad Wildlife Sanctuaries; and Silent Valley National Park
C. Kaundinya, Gundia, Brahmeswaram and Papikonda Wildlife Sanctuaries; and Mukurthi National Park
D. Kawal and Sri Venkateswara Wildlife Sanctuaries; and Nagarjunasagar-Srisailam Tiger Reserve",A,Environment & Ecology,Environment & Ecology -> Biosphere Reserves & Agasthyamala Biosphere Network,2019
"Consider the following statements:

 Some species of turtles are herbivores. Some species of fish are herbivores. Some species of marine mammals are herbivores.

 Which of the statements given above are correct?","A. 1 and 3 only
B. 2 and 3 only
C. 2 and 4 only
D. 1, 2 and 3",D,Environment & Ecology,Environment & Ecology -> Animal Physiology & Herbivorous Marine Life / Viviparous Snakes,2019
"Consider the following pairs:

 Wildlife - Naturally found in

 Blue-finned Mahseer - Cauvery River Irrawaddy Dolphin - Chambal River Rusty-spotted Cat - Eastern Ghats

 Which of the pairs given above are correctly matched?","A. 1 and 2 only
B. 2 and 3 only
C. 1 and 3 only
D. 1, 2 and 3",C,Environment & Ecology,"Environment & Ecology -> Wildlife Habitats & River Fauna (Mahseer, Dolphin, Cat)",2019
Why is there a great concern about the 'microbeads' that are released into environment?,"A. They are considered harmful to marine ecosystems.
B. They are considered to cause skin cancer in children.
C. They are small enough to be absorbed by crop plants in irrigated fields.
D. They are often found to be used as food adulterants",A,Environment & Ecology,Environment & Ecology -> Marine Pollution & Microbeads in Personal Care Products,2019
Building 'Kalyaana Mandapas' was a notable feature in the temple construction in the kingdom of,"A. Chalukya
B. Chandela
C. Rashtrakuta
D. Vijayanagara",D,Art & Culture,Art & Culture -> Temple Architecture & Vijayanagara Kalyana Mandapas,2019
"Consider the following statements:

 In the revenue administration of Delhi Sultanate, the in-charge of revenue collection was known as 'Amil'. The Iqta system of Sultans of Delhi was an ancient indigenous institution. The office of 'Mir Bakshi' came into existence during the reign of Khalji Sultans of Delhi.

 Which of the statements given above is/are correct?","A. 1 only
B. 1 and 2 only
C. 3 only
D. 1, 2 and 3",A,History,"History -> Delhi Sultanate Administration & Revenue Offices (Amil, Iqta, Mir Bakshi)",2019
"Consider the following statements:

 Saint Nimbarka was a contemporary of Akbar. Saint Kabir was greatly influenced by Shaikh Ahmad Sirhindi.

 Which of the statements given above is/are correct?","A. 1 only
B. 2 only
C. Both 1 and 2
D. Neither 1 nor 2",D,History,"History -> Medieval Religious Movements (Nimbarka, Kabir, Ahmad Sirhindi)",2019
"With reference to the British colonial rule in India, consider the following statements:

 Mahatma Gandhi was instrumental in the abolition of the system of 'indentured labour'. In Lord Chelmsford's 'War Conference', Mahatma Gandhi did not support the resolution on recruiting Indians for World War. Consequent upon the breaking Salt Law by Indian people, the Indian National Congress was declared illegal by the colonial rulers.

 Which of the statements given above are correct?","A. 1 and 2 only
B. 1 and 3 only
C. 2 and 3 only
D. 1, 2 and 3",B,History,History -> Indian National Movement & Gandhi's Early Initiatives,2019
"With reference to Indian National Movement, consider the following pairs:

 Person - Position held

 Sir Tej Bahadur Sapru - President, All India Liberal Federation K.C. Neogy - Member, The Constituent Assembly P.C. Joshi - General Secretary, Communist Party of India

 Which of the pairs given above are correctly matched?","A. 1 only
B. 1 and 2 only
C. 3 only
D. 1, 2 and 3",D,History,"History -> National Movement Leaders & Political Parties (Liberal Federation, CPI)",2019
"With reference to Mian Tansen, which one of the following statements is not correct?","A. Tansen was the title given to him by Emperor Akbar.
B. Tansen composed Dhrupads on Hindu gods and goddesses.
C. Tansen composed songs on his patrons.
D. Tansen invented many Ragas.",A,Art & Culture,Art & Culture -> Medieval Indian Music & Mian Tansen,2019
Who among the following Mughal Emperors shifted emphasis from illustrated manuscripts to album and individual portrait?,"A. Humayun
B. Akbar
C. Jahangir
D. Shah Jahan",C,Art & Culture,Art & Culture -> Mughal Painting & Jahangir (Portraiture & Albums),2019
Which one of the following National Parks lies completely in the temperate alpine zone?,"A. Manas National Park
B. Namdapha National Park
C. Neora Valley National Park
D. Valley of Flowers National Park",D,Environment & Ecology,Environment & Ecology -> Protected Areas & Alpine Vegetation (Valley of Flowers NP),2019
Atal Innovation Mission is set up under the,"A. Department of Science and Technology
B. Ministry of Labour and Employment
C. NITI Aayog
D. Ministry of Skill Development and Entrepreneurship",C,Economy,Economy -> Innovation Schemes & Atal Innovation Mission (NITI Aayog),2019
"On 21st June, the Sun","A. does not set below the horizon at the Arctic Circle
B. does not set below the horizon at Antarctic Circle
C. shines vertically overhead at noon on the Equator
D. shines vertically overhead at the Tropic of Capricorn",D,Geography,Geography -> Astronomical Geography & Summer Solstice on 21st June,2019
"Consider the following statements:

 Agricultural soils release nitrogen oxides into environment. Cattle release ammonia into environment. Poultry industry releases reactive nitrogen compounds into environment.

 Which of the statements given above is/are correct?","A. 1 and 3 only
B. 2 and 3 only
C. 2 only
D. 1, 2 and 3",D,Environment & Ecology,Environment & Ecology -> Nitrogen Pollution & Agricultural / Livestock Sources,2019
"What is common to the places known as Aliyar, Isapur and Kangsabati?","A. Recently discovered uranium deposits
B. Tropical rain forests
C. Underground cave systems
D. Water reservoirs",D,Geography,"Geography -> Indian Water Resources & Major Reservoirs (Aliyar, Isapur, Kangsabati)",2019
"In the context of proposals to the use of hydrogen-enriched CNG (H-CNG) as fuel for buses in public transport, consider the following statements:

 The main advantage of the use of H-CNG is the elimination of carbon monoxide emissions. H-CNG as fuel reduces carbon dioxide and hydrocarbon emissions. Hydrogen up to one-fifth by volume can be blended with CNG as fuel for buses. H-CNG makes the fuel less expensive than CNG.

 Which of the statements given above is/are correct?","A. 1 only
B. 2 and 3 only
C. 4 only
D. 1, 2, 3 and 4",B,Science & Technology,Science & Technology -> Alternative Fuels & Hydrogen-Enriched CNG (H-CNG),2019
Why are dewdrops not formed on a cloudy night?,"A. Clouds absorb the radiation released from the Earth's surface.
B. Clouds reflect back the Earth's radiation.
C. The Earth's surface would have low temperature on cloudy nights.
D. Clouds deflect the blowing wind to ground level",C,Geography,Geography -> Atmospheric Climatology & Dewdrop Formation,2019
"Consider the following statements:

 The 44th Amendment to the Constitution of India introduced an Article placing the election of the Prime Minister beyond judicial review. The Supreme Court of India struck down the 99th Amendment to the Constitution of India as being violative of the independence of judiciary.

 Which of the statements given above is/are correct?","A. 1 only
B. 2 only
C. Both 1 and 2
D. Neither 1 nor 2",B,Indian Polity,Indian Polity -> Constitutional Amendments & Judicial Review (44th & 99th Amendments),2019
"Consider the following statements:

 The motion to impeach a Judge of the Supreme Court of India cannot be rejected by the Speaker of the Lok Sabha as per the Judges (Inquiry) Act, 1968. The Constitution of India defines and gives details of what constitutes 'incapacity and proved misbehaviour' of the Judges of the Supreme Court of India. The details of the process of impeachment of the Judges of the Supreme Court of India are given in the Judges (Inquiry) Act, 1968. If the motion for the impeachment of a Judge is taken up for voting, the law requires the motion to be backed by each House of the Parliament and supported by a majority of total membership of that House and by not less than two-thirds of total members of that House present and voting.

 Which of the statements given above is/are correct?","A. 1 and 2
B. 3 only
C. 3 and 4 only
D. 1, 3 and 4",C,Indian Polity,Indian Polity -> Judiciary & Judges (Inquiry) Act 1968,2019
The Ninth Schedule was introduced in the Constitution of India during the prime ministership of,"A. Jawaharlal Nehru
B. Lal Bahadur Shastri
C. Indira Gandhi
D. Morarji Desai",A,Indian Polity,Indian Polity -> Constitutional History & 9th Schedule (1st Amendment),2019
"Consider the following statements:

 Coal sector was nationalized by the Government of India under Indira Gandhi. Now, coal blocks are allocated on lottery basis. Till recently, India imported coal to meet the shortages of domestic supply, but now India is self sufficient in coal production.

 Which of the statements given above is/are correct?","A. 1 only
B. 2 and 3 only
C. 3 only
D. 1, 2 and 3",A,Economy,Economy -> Energy Governance & History of Coal Nationalization,2019
"Consider the following statements:

 The Parliament (Prevention of Disqualification) Act, 1959 exempts several posts from disqualification on the grounds of 'Office of Profit'. The above-mentioned Act was amended five times. The term 'Office of Profit' is well-defined in the Constitution of India.

 Which of the statements given above is/are correct?","A. 1 and 2 only
B. 3 only
C. 2 and 3 only
D. 1, 2 and 3",A,Indian Polity,Indian Polity -> Parliamentary Disqualifications & Office of Profit,2019
Under which Schedule of the Constitution of India can the transfer of tribal land to private parties for mining be declared null and void?,"A. Third Schedule
B. Fifth Schedule
C. Ninth Schedule
D. Twelfth Schedule",B,Indian Polity,Indian Polity -> 5th Schedule Administration & Protection of Tribal Land (Samatha Case),2019
"Recently, there was a growing awareness in our country about the importance of Himalayan nettle (Girardinia diversifolia) because it is found to be a sustainable source of","A. anti-malarial drug
B. biodiesel
C. pulp for paper industry
D. textile fibre",D,Environment & Ecology,Environment & Ecology -> Economic Botany & Himalayan Nettle (Textile Fibre),2019
"For the measurement/ estimation of which of the following are satellite images/remote sensing data used?

 Chlorophyll content in the vegetation of a specific location Greenhouse gas emissions from rice paddies of a specific location Land surface temperatures of a specific location

 Select the correct answer using the code given below.","A. 1 only
B. 2 and 3 only
C. 3 only
D. 1, 2 and 3",D,Science & Technology,Science & Technology -> Remote Sensing Applications & Earth Observation Satellites,2019
"Consider the following States:

 Chhattisgarh Madhya Pradesh Maharashtra Odisha

 With reference to the States mentioned above, in terms of percentage of forest cover to the total area of State, which one of the following is the correct ascending order?","A. 2-3-1-4
B. 2-3-4-1
C. 3-2-4-1
D. 3-2-1-4",C,Geography,Geography -> Forest Resources & State Forest Cover Percentages (ISFR),2019
"Which of the following statements are correct about the deposits of 'methane hydrate'?

 Global warming might trigger the release of methane gas from these deposits. Large deposits of 'methane hydrate' are found in Arctic Tundra and under the seafloor. Methane in atmosphere oxidizes to carbon dioxide after a decade or two.

 Select the correct answer using the code given below.","A. 1 and 2 only
B. 2 and 3 only
C. 1 and 3 only
D. 1, 2 and 3",D,Environment & Ecology,Environment & Ecology -> Marine Energy Resources & Methane Hydrates,2019
"Consider the following:

 Carbon monoxide Methane Ozone Sulphur dioxide

 Which of the above are released into atmosphere due to the burning of crop/biomass residue?","A. 1 and 2 only
B. 2, 3 and 4 only
C. 1 and 4 only
D. 1, 2, 3 and 4",D,Environment & Ecology,Environment & Ecology -> Air Pollution & Biomass / Crop Stubble Burning,2019
"Consider the following pairs

 Sea - Bordering country

 Adriatic Sea - Albania Black Sea - Croatia Caspian Sea - Kazakhstan Mediterranean Sea - Morocco Red Sea - Syria

 Which of the pairs given above are correctly matched?","A. 1, 2 and 4 only
B. 1, 3 and 4 only
C. 2 and 5 only
D. 1, 2, 3, 4 and 5",B,Geography,Geography -> World Regional Geography & Bordering Countries of Major Seas,2019
"Among the following, which one is the largest exporter of rice in the world in the last five years?","A. China
B. India
C. Myanmar
D. Vietnam",B,Economy,Economy -> Agricultural Trade & Major Rice Exporting Countries,2019
"Consider the following pairs

 Glacier - River

 Bandarpunch - Yamuna Bara Shigri - Chenab Milam - Mandakini Siachen - Nubra Zemu - Manas

 Which of the pairs given above are correctly matched?","A. 1, 2 and 4
B. 1, 3 and 4
C. 2 and 5
D. 3 and 5",A,Geography,Geography -> Himalayan Glaciology & Glacial River Sources,2019
"In India, the use of carbofuran, methyl parathion, phorate and triazophos is viewed with apprehension. These chemicals are used as","A. pesticides in agriculture
B. preservatives in processed foods
C. fruit-ripening agents
D. moisturising agents in cosmetics",A,Environment & Ecology,Environment & Ecology -> Agricultural Chemicals & Hazardous Pesticides,2019
"Consider the following statements

 Under Ramsar Convention, it is mandatory on the part of the Government of India to protect and conserve all the wetlands in the territory of India. The Wetlands (Conservation and Management) Rules, 2010 were framed by the Government of India based on the recommendations of Ramsar Convention. The Wetlands (Conservation and Management) Rules, 2010 also encompass the drainage area or catchment regions of the wetlands as determined by the authority.

 Which of the statements given above is/are correct?","A. 1 and 2 only
B. 2 and 3 only
C. 3 only
D. 1, 2 and 3",B,Environment & Ecology,Environment & Ecology -> Wetland Governance & Ramsar / Wetlands Rules 2010,2019
"Consider the following events:

 The first democratically elected communist party government formed in a State in India India's then largest bank, ""Imperial Bank of India"" was renamed ""State Bank of India"" Air India was nationalized and became the national carrier Goa became a part of independent India

 Which of the following is the correct chronological sequence of the above events?","A. 4-1-2-3
B. 3-2-1-4
C. 4-2-1-3
D. 3-1-2-4",B,History,History -> Post-Independence Consolidation & Institutional Milestones,2018
Right to Privacy is protected as an intrinsic part of Right to Life and Personal Liberty. Which of the following in the Constitution of India correctly and appropriately imply the above statement?,"A. Article 14 and the provisions under the 42nd Amendment to the Constitution
B. Article 17 and the Directive Principles of State Policy in Part IV
C. Article 21 and the freedoms guaranteed in Part III
D. Article 24 and the provisions under the 44th Amendment to the Constitution",C,Indian Polity,Indian Polity -> Fundamental Rights & Right to Privacy (Puttaswamy Judgment),2018
"Consider the following:

 Areca nut Barley Coffee Finger millet Groundnut Sesamum Turmeric

 The Cabinet Committee on Economic Affairs has announced the Minimum Support Price for which of the above?","A. 1, 2, 3 and 7 only
B. 2, 4, 5 and 6 only
C. 1, 3, 4, 5 and 6 only
D. 1, 2, 3, 4, 5, 6 and 7",B,Economy,Economy -> Agricultural Price Policy & MSP Crop Coverage,2018
In which one of the following States is Pakhui Wildlife Sanctuary located?,"A. Arunachal Pradesh
B. Manipur
C. Meghalaya
D. Nagaland",A,Environment & Ecology,Environment & Ecology -> Protected Areas & Wildlife Sanctuaries (Pakhui / Pakke),2018
"With reference to India's satellite launch vehicles, consider the following statements:

 PSLVs launch the satellites useful for Earth resources monitoring whereas GSLVs are designed mainly to launch communication satellites. Satellites launched by PSLV appear to remain permanently fixed in the same position in the sky, as viewed from a particular location on Earth. GSLV Mk III is a four-staged launch vehicle with the first and third stages using solid rocket motors; and the second and fourth stages using liquid rocket engines.

 Which of the statements given above is/are correct?","A. 1 only
B. 2 and 3
C. 1 and 2
D. 3 only",A,Science & Technology,Science & Technology -> Space Technology & Launch Vehicles (PSLV vs GSLV),2018
"With reference to the governance of the public sector banking in India, consider the following statements:

 Capital infusion into public sector banks by the Government of India has steadily increased in the last decade. To put the public sector banks in order, the merger of associate banks with the parent State Bank of India has been affected.

 Which of the statements given above is/are correct?","A. 1 only
B. 2 only
C. Both 1 and 2
D. Neither 1 nor 2",C,Economy,Economy -> Banking Sector Reforms & Public Sector Bank Mergers,2018
"Consider the following items:

 Cereal grains hulled Chicken eggs cooked Fish processed and canned Newspapers containing advertising material

 Which of the above items is/are exempted under GST (Goods and Services Tax)?","A. 1 only
B. 2 and 3 only
C. 1, 2 and 4 only
D. 1, 2, 3 and 4",A,Economy,Economy -> Fiscal Policy & Goods and Services Tax (GST) Exemptions,2018
"Consider the following statements:

 The definition of ""Critical Wildlife Habitat"" is incorporated in the Forest Rights Act, 2006. For the first time in India, Baigas have been given Habitat Rights. Union Ministry of Environment, Forest and Climate Change officially decides and declares Habitat Rights for Primitive and Vulnerable Tribal Groups in any part of India.

 Which of the statements given above is/are correct?","A. 1 and 2 only
B. 2 and 3 only
C. 3 only
D. 1, 2 and 3",A,Environment & Ecology,Environment & Ecology -> Forest Governance & Critical Wildlife Habitats / Habitat Rights,2018
"Consider the following:

 Birds Dust blowing Rain Wind blowing

 Which of the above spread plant diseases?","A. 1 and 3 only
B. 3 and 4 only
C. 1, 2 and 4 only
D. 1, 2, 3 and 4",D,Environment & Ecology,Environment & Ecology -> Agricultural Ecology & Transmission Vectors of Plant Diseases,2018
"With reference to organic farming in India, consider the following statements:

 ""The National Programme for Organic Production"" (NPOP) is operated under the guidelines and directions of the Union Ministry of Rural Development. ""The Agricultural and Processed Food Products Export Development Authority"" (APEDA) functions as the Secretariat for the implementation of NPOP. Sikkim has become India's first fully organic State.

 Which of the statements given above is/are correct?","A. 1 and 2 only
B. 2 and 3 only
C. 3 only
D. 1, 2 and 3",B,Geography,Geography -> Sustainable Agriculture & National Programme for Organic Production,2018
"Regarding Money Bill, which of the following statements is not correct?","A. A bill shall be deemed to be a Money Bill if it contains only provisions relating to imposition, abolition, remission, alteration or regulation of any tax.
B. A Money Bill has provisions for the custody of the Consolidated Fund of India or the Contingency Fund of India.
C. A Money Bill is concerned with the appropriation of moneys out of the Contingency Fund of India.
D. A Money Bill deals with the regulation of borrowing of money or giving of any guarantee by the Government of India.",C,Indian Polity,Indian Polity -> Parliamentary Procedure & Money Bill Provisions (Article 110),2018
"Under Article 110 of the Constitution, a Money Bill deals with matters like taxation, borrowing, and expenditure from the Consolidated Fund of India, but not from the Contingency Fund. The Contingency Fund is for unforeseen expenditure and is governed separately. This distinction ensures financial accountability and legislative clarity.

 12. With reference to the election of the President of India, consider the following statements:

 The value of the vote of each MLA varies from State to State. The value of the vote of MPs of the Lok Sabha is more than the value of the vote of MPs of the Rajya Sabha.

 Which of the statements given above is/are correct?","A. 1 only
B. 2 only
C. Both 1 and 2
D. Neither 1 nor 2",A,Indian Polity,Indian Polity -> Constitutional Positions & Presidential Election Mechanism,2018
"The value of an MLA's vote is calculated based on the population of the state and the number of elected MLAs, so it varies across states. However, all MPs, whether from Lok Sabha or Rajya Sabha, have equal vote value. This ensures balanced federal representation in the presidential election.

 13. In the Indian context, what is the implication of ratifying the 'Additional Protocol' with the 'International Atomic Energy Agency (IAEA)'?","A. The civilian nuclear reactors come under IAEA safeguards.
B. The military nuclear installations come under the inspection of IAEA.
C. The country will have the privilege to buy uranium from the Nuclear Suppliers Group (NSG).
D. The country automatically becomes the member of NSG.",A,International Relations,International Relations -> Nuclear Non-Proliferation & IAEA Additional Protocol,2018
"The Additional Protocol strengthens the IAEA's verification powers over the peaceful use of nuclear material. By ratifying it, India's civilian nuclear facilities come under international safeguards, enhancing transparency and global trust. It does not apply to military facilities and does not ensure NSG membership.

 14. Consider the following countries:

 Australia Canada China India Japan USA

 Which of the above are among the 'free-trade partners' of ASEAN?","A. 1, 2, 4 and 5
B. 3, 4, 5 and 6
C. 1, 3, 4 and 5
D. 2, 3, 4 and 6",C,International Relations,International Relations -> Nuclear Non-Proliferation & IAEA Additional Protocol,2018
"ASEAN has Free Trade Agreements (FTAs) with India, China, Australia, Japan, South Korea, and New Zealand. Canada and USA are not FTA partners of ASEAN. These FTAs promote regional integration and trade liberalization.

 15. With reference to the 'Global Alliance for Climate Smart Agriculture (GACSA)', which of the following statements is/are correct?

 GACSA is an outcome of the climate summit held in Paris in 2015. Membership of GACSA does not create any binding obligations. India was instrumental in the creation of GACSA.

 Select the correct answer using the code given below:","A. 1 and 3 only
B. 2 only
C. 2 and 3 only
D. 1, 2 and 3",B,Environment & Ecology,Environment & Ecology -> Climate Agreements & Global Alliance for Climate-Smart Agriculture,2018
"GACSA was launched in 2014 at the UN Climate Summit, not at Paris 2015. It is a voluntary alliance with no binding obligations, promoting climate-resilient agriculture. India is a participant, but was not a founder.

 16. Which of the following is/are the aim/aims of ""Digital India"" Plan of the Government of India?

 Formation of India's own internet companies like China did. Establish a policy framework to encourage overseas multinational corporations that collect Big Data to build their last data centres within our national geographical boundaries. Connect many of our villages to the Internet and bring Wi-Fi to many of our schools, public places and major tourist centres.

 Select the correct answer using the code given below:","A. 1 and 2 only
B. 3 only
C. 2 and 3 only
D. 1, 2 and 3",B,Environment & Ecology,Environment & Ecology -> Climate Agreements & Global Alliance for Climate-Smart Agriculture,2018
"The Digital India initiative aims to provide connectivity, promote digital literacy, and ensure e-governance. It focuses on Wi-Fi in villages, schools, public places, and tourist centres. It does not aim to replicate China's internet companies or mandate data localization. Its primary goal is inclusive digital empowerment.

 17. Consider the following pairs:

 Towns sometimes mentioned in news - Country

 Aleppo - Syria Kirkuk - Yemen Mosul - Palestine Mazar-i-Sharif - Afghanistan

 Which of the pairs given above are correctly matched?","A. 1 and 2
B. 1 and 4
C. 2 and 3
D. 3 and 4",B,Current Affairs,Current Affairs -> National e-Governance Initiatives & Digital India Programme,2018
